Wall time,Step,Value
1701486067.778086,10000,0.19494575262069702
1701486147.7369936,20000,0.18507429957389832
1701486173.9510784,30000,0.17502351105213165
1701486200.4498427,40000,0.16502009332180023
1701486227.3801246,50000,0.15502069890499115
1701486254.4993098,60000,0.1450219601392746
1701486281.6753378,70000,0.13501980900764465
1701486308.7089255,80000,0.12499112635850906
1701486335.4770207,90000,0.11500997096300125
1701486363.8209054,100000,0.10500843077898026
